{https://registry.gdi-de.org/id/de.hh.up}name,{https://registry.gdi-de.org/id/de.hh.up}dhid,{https://registry.gdi-de.org/id/de.hh.up}einwohner,{https://registry.gdi-de.org/id/de.hh.up}linien,{https://registry.gdi-de.org/id/de.hh.up}geom,CRS
Finkenwerder (Schiff),de:02000:51980::519304,876,"62,64","MULTIPOLYGON (((9.875639 53.538065,9.875799 53.537866,9.875807 53.537825,9.875806 53.537811,9.875812 53.537801,9.876056 53.537467,9.876553 53.537266,9.877159 53.537162,9.877702 53.537066,9.878574 53.537100,9.879648 53.536827,9.879888 53.536224,9.879905 53.535811,9.879961 53.535784,9.879710 53.535632,9.879796 53.535573,9.880261 53.535388,9.880371 53.535313,9.880029 53.534840,9.879916 53.534913,9.879869 53.534822,9.879871 53.534817,9.879939 53.534776,9.880053 53.534714,9.880042 53.534670,9.879986 53.534529,9.879889 53.534169,9.879830 53.534049,9.879795 53.533842,9.879784 53.533774,9.879786 53.533771,9.880040 53.533422,9.880050 53.533374,9.880078 53.533279,9.879912 53.533301,9.879737 53.533266,9.879469 53.533137,9.879116 53.532925,9.878825 53.532831,9.878816 53.532835,9.878653 53.532772,9.877779 53.532938,9.877623 53.533119,9.877601 53.533121,9.877274 53.533173,9.876949 53.533134,9.876940 53.533135,9.876803 53.533253,9.876595 53.533447,9.876592 53.533449,9.876574 53.533491,9.876548 53.533493,9.876468 53.533491,9.876414 53.533459,9.876407 53.533455,9.876388 53.533362,9.876297 53.533390,9.876152 53.533318,9.876129 53.533320,9.875978 53.533413,9.875795 53.533497,9.874427 53.534491,9.874428 53.534498,9.874382 53.534537,9.874357 53.534538,9.874194 53.534650,9.874198 53.534653,9.874390 53.534827,9.874326 53.535151,9.874323 53.535154,9.874307 53.535216,9.874302 53.535219,9.874146 53.535340,9.874136 53.535343,9.873526 53.535446,9.873419 53.535435,9.873410 53.535425,9.873376 53.535477,9.873373 53.535486,9.873365 53.535502,9.873362 53.535509,9.873341 53.535565,9.873468 53.536002,9.873511 53.536188,9.873722 53.536627,9.873912 53.537039,9.873927 53.537153,9.873938 53.537225,9.873921 53.537245,9.873909 53.537256,9.873695 53.537292,9.873696 53.537292,9.873960 53.537945,9.874018 53.537942,9.874405 53.538273,9.874519 53.538495,9.875305 53.538277,9.875443 53.538183,9.875639 53.538065)))",EPSG:4326
Blankenese (Schiff),de:02000:81980::819300,1075,HBEL,"MULTIPOLYGON (((9.806563 53.559600,9.806835 53.559528,9.806842 53.559526,9.806853 53.559317,9.806854 53.559315,9.806849 53.559313,9.806908 53.559236,9.806947 53.558656,9.807242 53.558628,9.807336 53.558710,9.807451 53.558757,9.807477 53.558823,9.807483 53.558889,9.807491 53.558978,9.807511 53.559015,9.807503 53.559103,9.807503 53.559104,9.807502 53.559104,9.807422 53.559160,9.807350 53.559224,9.807340 53.559232,9.807424 53.559283,9.807500 53.559331,9.807562 53.559371,9.807578 53.559371,9.808024 53.559215,9.808077 53.559019,9.808094 53.559011,9.808324 53.559030,9.808418 53.559058,9.808630 53.559124,9.808634 53.559124,9.808696 53.559149,9.808699 53.559146,9.808718 53.559133,9.808686 53.559093,9.808627 53.558868,9.808829 53.558642,9.808847 53.558637,9.808934 53.558654,9.808950 53.558652,9.809590 53.558409,9.809693 53.558363,9.809742 53.558340,9.809691 53.558333,9.809640 53.558294,9.809313 53.558133,9.809261 53.558065,9.809270 53.558055,9.809281 53.557981,9.809003 53.557961,9.808996 53.557961,9.808888 53.557915,9.808890 53.557901,9.808721 53.557804,9.808675 53.557790,9.808664 53.557784,9.808579 53.557717,9.808585 53.557542,9.808975 53.557623,9.808988 53.557825,9.809388 53.557803,9.809593 53.557648,9.809561 53.557499,9.809605 53.557449,9.809711 53.557116,9.809757 53.556952,9.809758 53.556950,9.809753 53.556876,9.809822 53.556818,9.809850 53.556826,9.809918 53.556801,9.809928 53.556796,9.810005 53.556764,9.810219 53.556635,9.810448 53.556488,9.810458 53.556327,9.810463 53.556321,9.810651 53.556027,9.810669 53.556000,9.810685 53.555952,9.810680 53.555872,9.810684 53.555807,9.810699 53.555801,9.810755 53.555714,9.810764 53.555711,9.810518 53.555602,9.810444 53.555605,9.810405 53.555609,9.809635 53.555525,9.809528 53.555536,9.809506 53.555538,9.809497 53.555539,9.809336 53.555553,9.808405 53.555477,9.808143 53.555499,9.807967 53.555540,9.807764 53.555563,9.807747 53.555566,9.807662 53.555574,9.807588 53.555582,9.807162 53.555565,9.806981 53.555583,9.806837 53.555604,9.806822 53.555606,9.806668 53.555636,9.806328 53.555659,9.805767 53.555472,9.805359 53.555389,9.805351 53.555387,9.805343 53.555382,9.805335 53.555379,9.805325 53.555379,9.804588 53.555346,9.804530 53.555357,9.804455 53.555363,9.804396 53.555374,9.803431 53.555952,9.803427 53.555956,9.803383 53.556245,9.802972 53.556386,9.802958 53.556388,9.802240 53.556601,9.801700 53.556687,9.801149 53.556775,9.800450 53.557033,9.800419 53.557037,9.799271 53.557466,9.799213 53.557475,9.799153 53.557484,9.799057 53.557546,9.799162 53.557596,9.799650 53.557916,9.799653 53.557918,9.799654 53.557918,9.799657 53.557920,9.799657 53.557920,9.800700 53.558399,9.800808 53.558399,9.801005 53.558406,9.801188 53.558602,9.801190 53.558610,9.801130 53.558681,9.801130 53.558691,9.801133 53.558693,9.801438 53.558729,9.801761 53.558865,9.802365 53.558865,9.802445 53.558845,9.802608 53.558695,9.802613 53.558691,9.802619 53.558635,9.803029 53.558647,9.803241 53.558613,9.803381 53.558771,9.803307 53.558854,9.803307 53.558862,9.803514 53.559050,9.803667 53.559186,9.803672 53.559199,9.803675 53.559203,9.803854 53.559563,9.803854 53.559564,9.803853 53.559572,9.803808 53.559620,9.803808 53.559623,9.803894 53.559613,9.803898 53.559615,9.804713 53.559913,9.804711 53.559932,9.804727 53.559958,9.805004 53.559953,9.805715 53.559817,9.806070 53.559711,9.806563 53.559600)))",EPSG:4326
Ernst-August-Schleuse (Schiff),de:02000:39341::9539341,171,73,"MULTIPOLYGON (((9.985941 53.521384,9.986128 53.521109,9.986134 53.521105,9.986153 53.521072,9.986120 53.521041,9.986081 53.521005,9.986012 53.520975,9.985970 53.520958,9.985933 53.520966,9.985560 53.521053,9.985325 53.521042,9.984737 53.521119,9.984066 53.521071,9.983894 53.521081,9.983460 53.520991,9.983309 53.520929,9.983157 53.520917,9.982941 53.521023,9.982919 53.521025,9.982777 53.521015,9.982757 53.521015,9.982642 53.521008,9.982534 53.520975,9.982241 53.520947,9.982233 53.520944,9.982037 53.520762,9.982041 53.520491,9.981967 53.520457,9.981962 53.520455,9.981704 53.520319,9.981698 53.520317,9.981511 53.520251,9.981383 53.520356,9.981387 53.520363,9.981322 53.520435,9.981294 53.520504,9.981164 53.520606,9.980900 53.520903,9.980874 53.521054,9.980880 53.521067,9.980878 53.521068,9.981180 53.521479,9.981659 53.521626,9.981706 53.521642,9.981744 53.521745,9.981804 53.521748,9.981791 53.521756,9.981926 53.522045,9.981962 53.522051,9.981974 53.522151,9.981976 53.522155,9.981968 53.522164,9.982009 53.522269,9.981945 53.522333,9.981107 53.522688,9.981391 53.523325,9.981541 53.523491,9.981157 53.523751,9.981150 53.523756,9.981101 53.523786,9.981153 53.524681,9.981197 53.524692,9.981686 53.525093,9.981679 53.525103,9.981543 53.525440,9.981532 53.525449,9.981391 53.525527,9.980944 53.526001,9.980903 53.526018,9.980312 53.526229,9.980309 53.526306,9.980457 53.526405,9.981093 53.526326,9.981225 53.526306,9.981243 53.526304,9.981451 53.526147,9.982396 53.525816,9.982408 53.525807,9.982474 53.525727,9.982861 53.525466,9.982945 53.525365,9.982953 53.525356,9.982969 53.525338,9.983114 53.525164,9.983645 53.524771,9.983728 53.524675,9.983737 53.524669,9.984099 53.524482,9.984286 53.524421,9.984342 53.524402,9.984356 53.524397,9.984568 53.524309,9.984941 53.524092,9.986707 53.523507,9.986913 53.523476,9.987126 53.523444,9.987288 53.523315,9.986988 53.523298,9.986828 53.523289,9.986793 53.523288,9.985294 53.523209,9.985015 53.522320,9.985157 53.522165,9.985326 53.521979,9.985335 53.521974,9.985538 53.521750,9.985621 53.521701,9.985838 53.521444,9.985941 53.521384),(9.982497 53.521297,9.982498 53.521296,9.982481 53.521306,9.982480 53.521305,9.982480 53.521305,9.982478 53.521301,9.982478 53.521301,9.982485 53.521300,9.982489 53.521299,9.982497 53.521297)))",EPSG:4326
Rüschpark (Schiff),de:02000:51981::519811,3,"62,64","MULTIPOLYGON (((9.859248 53.542485,9.859519 53.542445,9.860218 53.542453,9.860646 53.542289,9.861319 53.542155,9.861735 53.542021,9.862130 53.541951,9.862142 53.541949,9.862416 53.541939,9.862684 53.542073,9.863553 53.542176,9.864179 53.541977,9.864509 53.541797,9.864518 53.541796,9.864565 53.541790,9.864637 53.541773,9.864683 53.541767,9.865312 53.541464,9.865343 53.541411,9.865358 53.541374,9.865363 53.541367,9.865416 53.541322,9.865422 53.541316,9.865453 53.541287,9.865605 53.541153,9.865828 53.540835,9.865990 53.540692,9.865998 53.540685,9.866041 53.540644,9.866676 53.539601,9.866954 53.539340,9.867155 53.539138,9.867171 53.539122,9.867414 53.538386,9.866498 53.538797,9.866110 53.539042,9.866107 53.539043,9.864882 53.539441,9.864867 53.539454,9.864708 53.539772,9.864647 53.539769,9.864522 53.539710,9.864430 53.539668,9.864132 53.539480,9.864131 53.539479,9.863881 53.539417,9.863803 53.539398,9.863757 53.539298,9.863920 53.539211,9.863956 53.539180,9.864001 53.539185,9.864008 53.539187,9.864086 53.539199,9.864096 53.539202,9.864237 53.539309,9.864242 53.539324,9.864250 53.539343,9.864255 53.539354,9.864289 53.539349,9.864401 53.539328,9.864412 53.539317,9.864617 53.539290,9.864615 53.539286,9.864628 53.539284,9.864585 53.539198,9.864561 53.539144,9.864534 53.539112,9.864520 53.539057,9.864455 53.538917,9.864424 53.538853,9.864345 53.538702,9.864335 53.538681,9.864290 53.538574,9.864271 53.538531,9.864261 53.538505,9.864191 53.538445,9.863889 53.538188,9.863830 53.538200,9.863031 53.538533,9.862611 53.538672,9.862088 53.538815,9.860717 53.538635,9.860442 53.538697,9.860617 53.539044,9.860614 53.539053,9.859798 53.539651,9.859756 53.539661,9.859748 53.539664,9.859747 53.539669,9.859497 53.539748,9.859518 53.539846,9.859511 53.539850,9.859382 53.539877,9.858470 53.540472,9.857774 53.541142,9.857694 53.541224,9.857700 53.541235,9.857698 53.541400,9.857690 53.541406,9.857264 53.541659,9.857231 53.541681,9.857187 53.541730,9.857179 53.541731,9.857140 53.541774,9.856955 53.542129,9.856991 53.542347,9.857084 53.542383,9.857265 53.542363,9.857561 53.542334,9.857576 53.542331,9.857600 53.542325,9.857609 53.542323,9.857909 53.542168,9.857917 53.542166,9.857944 53.542161,9.858060 53.542172,9.858928 53.542457,9.859248 53.542485),(9.861944 53.540685,9.861936 53.540591,9.862060 53.540650,9.862114 53.540669,9.861993 53.540699,9.861984 53.540705,9.861973 53.540713,9.861931 53.540706,9.861944 53.540685),(9.863007 53.540618,9.863179 53.540521,9.863357 53.540418,9.863313 53.540389,9.863321 53.540362,9.863416 53.540263,9.863459 53.540346,9.863462 53.540362,9.863468 53.540379,9.863471 53.540396,9.863477 53.540413,9.863537 53.540545,9.863546 53.540583,9.863486 53.540598,9.863459 53.540602,9.863407 53.540605,9.863371 53.540590,9.863007 53.540618)))",EPSG:4326
Sperrwerk Neuenfelde (Schiff),de:02000:51982,0,HBEL,"MULTIPOLYGON (((9.790323 53.537037,9.791852 53.536426,9.791569 53.535831,9.791572 53.535830,9.791656 53.535808,9.791659 53.535805,9.791739 53.535725,9.792163 53.535022,9.792174 53.535001,9.792182 53.534999,9.792191 53.534994,9.792214 53.534990,9.792430 53.534948,9.792437 53.534945,9.792482 53.534898,9.792858 53.534647,9.793029 53.534560,9.793045 53.534553,9.793054 53.534550,9.793634 53.534410,9.793990 53.534368,9.794026 53.534352,9.794037 53.534347,9.794298 53.534156,9.794267 53.534053,9.794193 53.533800,9.794190 53.533794,9.794095 53.533774,9.793917 53.533734,9.793898 53.533726,9.793777 53.533705,9.793630 53.533674,9.793619 53.533678,9.793579 53.533805,9.792509 53.534116,9.792491 53.534124,9.791762 53.534278,9.791618 53.534341,9.791603 53.534347,9.791399 53.534413,9.790752 53.534518,9.790489 53.534603,9.790475 53.534607,9.789923 53.534597,9.789870 53.534580,9.789635 53.534548,9.789159 53.534544,9.789096 53.534528,9.788658 53.534378,9.788603 53.534328,9.788358 53.534196,9.788309 53.534151,9.788204 53.534079,9.788191 53.534071,9.788128 53.534036,9.787820 53.533944,9.787767 53.533915,9.787622 53.533861,9.787485 53.533827,9.786657 53.533786,9.786592 53.533769,9.786510 53.533758,9.786490 53.533757,9.786231 53.533807,9.786219 53.533807,9.786198 53.533807,9.786139 53.533809,9.785856 53.533907,9.785690 53.534511,9.785696 53.534560,9.785243 53.535644,9.785018 53.535943,9.785009 53.535948,9.784978 53.536034,9.784974 53.536036,9.784862 53.536301,9.784495 53.536680,9.784481 53.536699,9.784502 53.536711,9.784346 53.536834,9.784328 53.536943,9.784312 53.537021,9.784658 53.537049,9.784698 53.537054,9.784728 53.537057,9.785747 53.537007,9.786038 53.536912,9.786286 53.536828,9.787286 53.536681,9.787378 53.536661,9.787675 53.536640,9.787776 53.536618,9.787795 53.536613,9.788623 53.536550,9.788891 53.536866,9.790055 53.537057,9.790100 53.537059,9.790160 53.537069,9.790205 53.537071,9.790323 53.537037)))",EPSG:4326
Cranz (Schiff),de:02000:51983::519311,204,HBEL,"MULTIPOLYGON (((9.782156 53.538088,9.782390 53.537906,9.782386 53.537902,9.782425 53.537826,9.782477 53.537689,9.782475 53.537688,9.782473 53.537686,9.782533 53.537559,9.782563 53.537490,9.782594 53.537429,9.782737 53.537188,9.783174 53.535989,9.783189 53.535943,9.783218 53.535887,9.783194 53.535858,9.783195 53.535857,9.783157 53.535769,9.783160 53.535692,9.783164 53.535691,9.783184 53.535560,9.783087 53.534841,9.783179 53.534533,9.783269 53.534300,9.783263 53.534296,9.782955 53.534304,9.782925 53.534313,9.782907 53.534319,9.782895 53.534324,9.782877 53.534332,9.782348 53.534414,9.782334 53.534418,9.781804 53.534403,9.781712 53.534418,9.781692 53.534422,9.781605 53.534441,9.781511 53.534467,9.781003 53.534509,9.780385 53.534184,9.779567 53.534070,9.779560 53.534071,9.779553 53.534069,9.779546 53.534069,9.779535 53.534069,9.779515 53.534070,9.779495 53.534070,9.779470 53.534074,9.779450 53.534074,9.778682 53.534185,9.778676 53.534188,9.778624 53.534312,9.778477 53.534367,9.778448 53.534376,9.777430 53.534305,9.776932 53.534051,9.776333 53.533142,9.776229 53.533121,9.776053 53.533105,9.775640 53.533063,9.775175 53.533042,9.775146 53.533018,9.775114 53.533025,9.775065 53.533030,9.775015 53.533051,9.774961 53.533080,9.774947 53.533168,9.774970 53.533185,9.774807 53.533396,9.774775 53.533553,9.774782 53.533564,9.775175 53.533772,9.775222 53.534020,9.775261 53.534227,9.775353 53.534319,9.775364 53.534329,9.775428 53.534374,9.775599 53.534596,9.775675 53.534650,9.775688 53.534657,9.775790 53.534718,9.775896 53.534767,9.776153 53.534966,9.776275 53.535024,9.776528 53.535104,9.776946 53.535183,9.777832 53.535476,9.778211 53.535538,9.778223 53.535542,9.778365 53.535585,9.778376 53.535590,9.778554 53.535709,9.778563 53.535714,9.778682 53.535769,9.778689 53.535775,9.778770 53.536192,9.778514 53.536318,9.778206 53.536677,9.778449 53.536897,9.778462 53.536991,9.778276 53.537952,9.778265 53.537957,9.778259 53.537961,9.778198 53.538059,9.778207 53.538065,9.778417 53.538052,9.778421 53.538021,9.778422 53.538012,9.778735 53.537963,9.780101 53.538148,9.780415 53.537952,9.780427 53.538164,9.780559 53.538198,9.781070 53.538174,9.781779 53.538142,9.782152 53.538089,9.782156 53.538088)))",EPSG:4326
AIRBUS (Schiffsanleger),de:02000:51984::519312,0,"62,68","MULTIPOLYGON (((9.837851 53.545491,9.838125 53.545454,9.838903 53.545454,9.839246 53.545407,9.839952 53.545468,9.841200 53.545348,9.841994 53.545071,9.842378 53.544767,9.842423 53.544761,9.842519 53.544734,9.842563 53.544728,9.842579 53.544726,9.842650 53.544716,9.843388 53.544501,9.844269 53.544379,9.844986 53.544111,9.845198 53.544082,9.845863 53.543783,9.845787 53.543755,9.844877 53.543425,9.844778 53.543395,9.844360 53.543171,9.844351 53.543156,9.844349 53.543157,9.844348 53.543155,9.844326 53.543161,9.843928 53.543085,9.843916 53.543085,9.843784 53.543159,9.843755 53.543181,9.843358 53.543188,9.843066 53.543246,9.842655 53.543207,9.842652 53.543198,9.842606 53.543132,9.842602 53.543122,9.842521 53.543075,9.842370 53.542795,9.842384 53.542766,9.842386 53.542762,9.842389 53.542749,9.842435 53.542618,9.842492 53.542501,9.842560 53.542363,9.842559 53.542358,9.842572 53.542343,9.842577 53.542342,9.842577 53.542342,9.842578 53.542342,9.842742 53.542320,9.842734 53.542270,9.842732 53.542263,9.842731 53.542256,9.842724 53.542205,9.842704 53.542207,9.842663 53.542208,9.842656 53.542209,9.842622 53.542182,9.842604 53.542162,9.842602 53.542159,9.842603 53.542157,9.842594 53.542145,9.842593 53.542143,9.842550 53.541993,9.842556 53.541906,9.842558 53.541873,9.842563 53.541845,9.842486 53.541858,9.841964 53.541947,9.841739 53.541995,9.841722 53.541998,9.841417 53.542114,9.841189 53.542038,9.839672 53.542333,9.839511 53.542389,9.839301 53.542464,9.839186 53.542495,9.839128 53.542468,9.839141 53.542461,9.839121 53.542447,9.839096 53.542451,9.839023 53.542454,9.838975 53.542486,9.838976 53.542487,9.838412 53.542753,9.838391 53.542790,9.837664 53.543376,9.837065 53.543363,9.837057 53.543364,9.836984 53.543338,9.836976 53.543339,9.836939 53.543372,9.836543 53.543798,9.836541 53.543800,9.836472 53.543859,9.836468 53.543857,9.836456 53.543850,9.836452 53.543853,9.836273 53.543977,9.836105 53.544134,9.835821 53.544450,9.835802 53.544453,9.835662 53.544623,9.836095 53.544769,9.836103 53.544772,9.836108 53.544767,9.836284 53.544831,9.836464 53.544895,9.836473 53.544900,9.836496 53.544908,9.836122 53.545075,9.836110 53.545051,9.835682 53.545240,9.834981 53.545518,9.835684 53.545617,9.835995 53.545562,9.836327 53.545509,9.837803 53.545498,9.837834 53.545494,9.837851 53.545491),(9.837602 53.544758,9.837600 53.544757,9.837590 53.544756,9.837569 53.544740,9.837299 53.544760,9.837391 53.544658,9.837589 53.544663,9.837606 53.544668,9.837610 53.544668,9.837688 53.544704,9.837705 53.544710,9.837602 53.544758)))",EPSG:4326
Köhlbrandhöft (nur Angehörige),de:02000:52979::529791,0,61,"MULTIPOLYGON (((9.936459 53.540505,9.937128 53.540440,9.937505 53.540444,9.938160 53.540270,9.938209 53.540208,9.938379 53.540033,9.938391 53.540027,9.938477 53.539996,9.938645 53.539900,9.938726 53.539871,9.938928 53.539761,9.939203 53.539557,9.939740 53.538826,9.939889 53.538716,9.939914 53.538696,9.940005 53.538619,9.940303 53.537939,9.940285 53.537933,9.939879 53.537797,9.939869 53.537732,9.939847 53.537635,9.939802 53.537431,9.939706 53.537154,9.939730 53.537151,9.939733 53.537148,9.939700 53.537056,9.939677 53.537047,9.939675 53.537046,9.939505 53.536605,9.939341 53.536281,9.938632 53.536640,9.938577 53.536705,9.938564 53.536717,9.937744 53.537089,9.937381 53.537408,9.937042 53.537710,9.936334 53.538120,9.936325 53.538127,9.936206 53.538211,9.935933 53.538340,9.935804 53.538431,9.935793 53.538438,9.935784 53.538444,9.935690 53.538526,9.935456 53.538637,9.935294 53.538668,9.935187 53.538701,9.935177 53.538705,9.934953 53.538795,9.934774 53.538889,9.934503 53.538991,9.934314 53.539091,9.933963 53.539555,9.933964 53.539575,9.933958 53.539599,9.933959 53.539619,9.933959 53.539632,9.933960 53.539638,9.933960 53.539652,9.933964 53.539668,9.933964 53.539681,9.934460 53.540188,9.934565 53.540225,9.934706 53.540260,9.934808 53.540297,9.935283 53.540380,9.935575 53.540411,9.936028 53.540501,9.936459 53.540505)))",EPSG:4326
Bubendey-Ufer,de:02000:52980::529304,0,"62,68","MULTIPOLYGON (((9.886096 53.540483,9.886488 53.540290,9.886807 53.540252,9.887173 53.540246,9.887541 53.540240,9.887858 53.540195,9.887898 53.540195,9.888225 53.540149,9.888782 53.540141,9.889108 53.540088,9.889500 53.540025,9.889935 53.540018,9.890327 53.539943,9.890357 53.539942,9.890745 53.539866,9.891030 53.539862,9.891393 53.539770,9.891953 53.539628,9.891475 53.539614,9.890838 53.539586,9.890757 53.539583,9.890723 53.539582,9.890643 53.539580,9.890208 53.539463,9.889622 53.539304,9.888645 53.539327,9.887810 53.539221,9.887275 53.539154,9.886979 53.539139,9.886391 53.539068,9.886014 53.539023,9.885659 53.538877,9.885459 53.538483,9.884989 53.538335,9.884987 53.538325,9.884872 53.537970,9.884669 53.537822,9.884655 53.537796,9.884671 53.537764,9.884581 53.537379,9.884548 53.537305,9.884509 53.537217,9.884509 53.537214,9.884396 53.536647,9.884403 53.536608,9.884413 53.536551,9.884334 53.536313,9.884338 53.536296,9.884347 53.536267,9.884347 53.536267,9.884328 53.536276,9.884265 53.536303,9.883992 53.536510,9.883987 53.536536,9.883981 53.536539,9.883590 53.536833,9.883535 53.537023,9.883990 53.537507,9.883868 53.537952,9.883855 53.538145,9.883709 53.538561,9.883664 53.538676,9.883669 53.538969,9.883621 53.539022,9.883617 53.539033,9.883551 53.539109,9.882892 53.539300,9.882880 53.539303,9.882258 53.539381,9.880608 53.539720,9.880442 53.539729,9.880326 53.539655,9.880060 53.539608,9.880035 53.539597,9.879824 53.539564,9.879775 53.539567,9.879347 53.539691,9.879324 53.539693,9.879297 53.539694,9.879293 53.539695,9.879266 53.539696,9.878942 53.539804,9.878998 53.539824,9.878999 53.539833,9.878834 53.539961,9.878834 53.540018,9.878886 53.540077,9.878951 53.540129,9.878961 53.540129,9.879346 53.540199,9.879375 53.540197,9.879400 53.540195,9.879412 53.540195,9.879470 53.540191,9.880153 53.540282,9.880268 53.540275,9.880289 53.540273,9.880321 53.540271,9.880700 53.540244,9.882431 53.540373,9.882877 53.540343,9.883135 53.540324,9.883150 53.540324,9.883161 53.540323,9.883198 53.540323,9.883345 53.540320,9.883702 53.540355,9.883912 53.540351,9.883969 53.540350,9.883982 53.540349,9.884264 53.540372,9.884492 53.540529,9.885365 53.540713,9.886096 53.540483)))",EPSG:4326
